rsID;PrsLabel;BYear;BLocLabel;BLocID;BLocLat;BLocLong;DYear;DLocLabel;DLocID;DLocLat;DLocLong;Gender;PerformingArts;Creative;Gov/Law/Mil/Act/Rel;Academic/Edu/Health;Sports;Business/Industry/Travel
/m/02cvn;David;-1039;Bethlehem;/m/01cy_;31.7031;35.1956;-969;Jerusalem;/m/0430_;31.783333;35.216667;Male;0;0;1;0;0;0
/m/02xr84;Josiah;-648;Jerusalem;/m/0430_;31.783333;35.216667;-608;Jerusalem;/m/0430_;31.783333;35.216667;Male;0;0;0;0;0;0
/m/02pqx;Ezekiel;-621;Jerusalem;/m/0430_;31.783333;35.216667;-569;Babylon;/m/01cyh;32.5416666667;44.4233333333;Male;0;0;1;0;0;0
/m/0fyrw;Solon;-637;Classical Athens;/m/03nmzqx;37.9666666667;23.7166666667;-557;Cyprus;/m/01ppq;35.2251198413;33.6124411111;Male;0;0;0;0;0;0
/m/03d0c1;Cyrus the Great;-575;Anshan;/m/05h83n;29.9;52.4;-528;Syr Darya;/m/0k8fk;40.85;68.6666666667;Male;0;0;0;0;0;0
/m/05sr0;Pythagoras;-569;Samos Island;/m/096c16;37.7333;26.8333;-494;Metapontum;/m/06jfls;40.416018;16.816969;Male;0;0;0;1;0;0
/m/03srmh;Anacreon;-569;Teos;/m/083255;38.1721;26.7907;-487;Athens;/m/0n2z;37.9777777778;23.7277777778;Male;0;0;0;0;0;0
/m/015k7;Gautama Buddha;-562;Lumbini;/m/01c_w6;27.4672;83.2749;-482;Kushinagar;/m/01h0lq;26.7403982017;83.8854217529;Male;0;0;1;1;0;0
/m/01rll;Confucius;-550;Qufu;/m/02wd7w;35.6;116.9833;-478;Qufu;/m/02wd7w;35.6;116.9833;Male;0;0;0;1;0;0
/m/0w4n;Aeschylus;-524;Eleusina;/m/0kvm9;38.0394388918;23.5423278809;-455;Gela;/m/0402mg;37.0667;14.25;Male;1;0;1;0;0;0
/m/0547vc;Kimon;-509;Athens;/m/0n2z;37.9777777778;23.7277777778;-449;Salamis;/m/0khg6;35.1833;33.9;Male;0;0;0;0;0;0
